HID_No,Zone_ID,Sub_Region,Full_Name,Project,ZCU,HID_Type,Vehicle_Max
HID-OHT-077,B60,1,HID-B60-1(077),M14 Project Ph-1,ZC310A,HID4,37
HID-OHT-078,B61,1,HID-B61-1(078),M14 Project Ph-1,ZC306A,HID4,37
HID-OHT-138,B62,1,HID-B62-1(138),M14 Project Ph-1,ZC707A,HID4,37
HID-OHT-139,B62,2,HID-B62-2(139),M14 Project Ph-1,ZC705A,HID4,37
HID-OHT-079,M02,1,HID-M02(079),M14 Project Ph-1,ZC057A,HID4,37
HID-OHT-081,M05,1,HID-M05(081),M14 Project Ph-1,ZC066A,HID4,37
HID-OHT-083,M08,1,HID-M08(083),M14 Project Ph-1,ZC077A,HID4,31
HID-OHT-085,M10,1,HID-M10(085),M14 Project Ph-1,ZC086A,HID4,37
HID-OHT-087,M13,1,HID-M13(087),M14 Project Ph-1,ZC097A,HID4,37
HID-OHT-089,M16,1,HID-M16(089),M14 Project Ph-1,ZC111A,HID4,37
HID-OHT-091,M19,1,HID-M19(091),M14 Project Ph-1,ZC117A,HID4,37
HID-OHT-093,M21,1,HID-M21(093),M14 Project Ph-1,ZC131A,HID4,37
HID-OHT-095,M23,1,HID-M23(095),M14 Project Ph-1,ZC142A,HID4,37
HID-OHT-097,M26,1,HID-M26(097),M14 Project Ph-1,ZC151A,HID4,31
HID-OHT-099,M28,1,HID-M28(099),M14 Project Ph-1,ZC161A,HID4,37
HID-OHT-101,M31,1,HID-M31(101),M14 Project Ph-1,ZC172A,HID4,37
HID-OHT-102,M34,1,HID-M34(102),M14 Project Ph-1,ZC171A,HID4,37
HID-OHT-100,M36,1,HID-M36(100),M14 Project Ph-1,ZC164A,HID4,31
HID-OHT-098,M38,1,HID-M38(098),M14 Project Ph-1,ZC154A,HID4,37
HID-OHT-096,M41,1,HID-M41(096),M14 Project Ph-1,ZC143A,HID4,37
HID-OHT-094,M43,1,HID-M43(094),M14 Project Ph-1,ZC127A,HID4,37
HID-OHT-092,M46,1,HID-M46(092),M14 Project Ph-1,ZC116A,HID4,37
HID-OHT-090,M48,1,HID-M48(090),M14 Project Ph-1,ZC110A,HID4,37
HID-OHT-088,M50,1,HID-M50(088),M14 Project Ph-1,ZC093A,HID4,37
HID-OHT-086,M52,1,HID-M52(086),M14 Project Ph-1,ZC089A,HID4,37
HID-OHT-084,M55,1,HID-M55(084),M14 Project Ph-1,ZC078A,HID4,31
HID-OHT-082,M58,1,HID-M58(082),M14 Project Ph-1,ZC062A,HID4,37
HID-OHT-080,M60,1,HID-M60(080),M14 Project Ph-1,ZC058A,HID4,37
HID-OHT-118,OE1,1,HID-OE1(118),M14 Project Ph-1,ZC475A,HID4,37
HID-OHT-116,OE2,1,HID-OE2(116),M14 Project Ph-1,ZC671A,HID4,37
HID-OHT-119,OEA,1,HID-OEA(119),M14 Project Ph-1,ZC476A,HID4,31
HID-OHT-120,OEB,1,HID-OEB(120),M14 Project Ph-1,ZC479A,HID4,31
HID-OHT-117,OEC,1,HID-OEC(117),M14 Project Ph-1,ZC477A,HID4,37
HID-OHT-132,ON1,1,HID-ON1(132),M14 Project Ph-1,ZC804A,HID4,37
HID-OHT-129,ON2,1,HID-ON2(129),M14 Project Ph-1,ZC806A,HID4,37
HID-OHT-127,ON3,1,HID-ON3(127),M14 Project Ph-1,ZC809A,HID4,37
HID-OHT-125,ON4,1,HID-ON4(125),M14 Project Ph-1,ZC814A,HID4,37
HID-OHT-123,ON5,1,HID-ON5(123),M14 Project Ph-1,ZC818A,HID4,37
HID-OHT-121,ON6,1,HID-ON6(121),M14 Project Ph-1,ZC822A,HID4,37
HID-OHT-133,ONA,1,HID-ONA(133),将来,,HID4,37
HID-OHT-130,ONB,1,HID-ONB(130),将来,,HID4,37
