_time,VEHICLE,HID
2026-04-21 14:00:50.937+0900,BV0226,3
2026-04-21 14:00:51.126+0900,BV0322,11121
2026-04-21 14:00:51.591+0900,BV0390,11091
2026-04-21 14:00:51.753+0900,BV0069,10771
2026-04-21 14:00:51.824+0900,BV0225,10641
2026-04-21 14:00:51.866+0900,BV0350,10721
2026-04-21 14:00:52.355+0900,BV0177,33
2026-04-21 14:00:52.501+0900,BV0212,10721
2026-04-21 14:00:53.396+0900,BV0225,10641
2026-04-21 14:00:53.401+0900,BV0350,10681
2026-04-21 14:00:54.014+0900,BV0225,10641
2026-04-21 14:00:54.019+0900,BV0177,33
2026-04-21 14:00:54.217+0900,BV0003,33
2026-04-21 14:00:54.315+0900,BV0303,11041
2026-04-21 14:00:54.339+0900,BV0225,10641
2026-04-21 14:00:54.771+0900,BV0372,10781
2026-04-21 14:00:54.801+0900,BV0350,10681
2026-04-21 14:00:55.122+0900,BV0078,11121
2026-04-21 14:00:55.770+0900,BV0392,10611
2026-04-21 14:00:55.770+0900,BV0392,3
2026-04-21 14:00:55.770+0900,BV0303,11091
2026-04-21 14:00:56.450+0900,BV0329,10781
2026-04-21 14:00:56.450+0900,BV0329,34
2026-04-21 14:00:56.457+0900,BV0003,33
2026-04-21 14:00:56.472+0900,BV0338,10721
2026-04-21 14:00:56.877+0900,BV0132,34
2026-04-21 14:00:57.268+0900,BV0095,10611
2026-04-21 14:00:57.604+0900,BV0225,10641
2026-04-21 14:00:57.792+0900,BV0314,11082
2026-04-21 14:00:57.792+0900,BV0129,11041
2026-04-21 14:00:57.801+0900,BV0350,10711
2026-04-21 14:00:58.436+0900,BV0128,11121
2026-04-21 14:00:59.151+0900,BV0225,10641
2026-04-21 14:01:00.241+0900,BV0225,10641
2026-04-21 14:01:00.263+0900,BV0200,34
2026-04-21 14:01:00.373+0900,BV0301,10651
2026-04-21 14:01:01.798+0900,BV0200,34
2026-04-21 14:01:02.210+0900,BV0003,10771
2026-04-21 14:01:02.340+0900,BV0201,11121
2026-04-21 14:01:05.096+0900,BV0200,33
2026-04-21 14:01:05.551+0900,BV0213,11091
2026-04-21 14:01:05.571+0900,BV0201,11111
2026-04-21 14:01:05.918+0900,BV0158,11121
2026-04-21 14:01:07.275+0900,BV0200,33
2026-04-21 14:01:07.997+0900,BV0132,33
2026-04-21 14:01:09.248+0900,BV0350,10631
2026-04-21 14:01:09.323+0900,BV0372,10851
2026-04-21 14:01:09.989+0900,BV0358,11121
2026-04-21 14:01:11.699+0900,BV0212,10631
2026-04-21 14:01:11.714+0900,BV0113,10831
2026-04-21 14:01:12.661+0900,BV0305,10681
2026-04-21 14:01:12.986+0900,BV0225,10651
2026-04-21 14:01:13.171+0900,BV0092,3
2026-04-21 14:01:13.419+0900,BV0236,10721
2026-04-21 14:01:14.389+0900,BV0350,10611
2026-04-21 14:01:14.389+0900,BV0350,3
2026-04-21 14:01:14.846+0900,BV0236,10721
2026-04-21 14:01:14.887+0900,BV0113,10811
2026-04-21 14:01:15.112+0900,BV0177,10771
2026-04-21 14:01:15.225+0900,BV0305,10681
2026-04-21 14:01:15.618+0900,BV0365,10651
2026-04-21 14:01:15.901+0900,BV0236,10721
2026-04-21 14:01:15.926+0900,BV0071,10721
2026-04-21 14:01:15.952+0900,BV0071,10721
2026-04-21 14:01:16.434+0900,BV0076,10681
2026-04-21 14:01:16.589+0900,BV0236,10721
2026-04-21 14:01:16.604+0900,BV0212,10611
2026-04-21 14:01:16.604+0900,BV0212,3
2026-04-21 14:01:16.614+0900,BV0177,10771
2026-04-21 14:01:16.830+0900,BV0390,11082
2026-04-21 14:01:17.523+0900,BV0177,10771
2026-04-21 14:01:17.784+0900,BV0303,11082
2026-04-21 14:01:17.979+0900,BV0177,10771
2026-04-21 14:01:18.303+0900,BV0199,10651
2026-04-21 14:01:19.590+0900,BV0129,11111
2026-04-21 14:01:19.634+0900,BV0303,11082
2026-04-21 14:01:20.596+0900,BV0220,11091
2026-04-21 14:01:20.644+0900,BV0329,33
2026-04-21 14:01:21.046+0900,BV0303,11082
2026-04-21 14:01:21.465+0900,BV0303,11082
2026-04-21 14:01:21.485+0900,BV0236,10721
2026-04-21 14:01:21.803+0900,BV0212,10641
2026-04-21 14:01:21.807+0900,BV0305,10631
2026-04-21 14:01:21.916+0900,BV0177,10771
2026-04-21 14:01:22.065+0900,BV0220,11091
2026-04-21 14:01:22.418+0900,BV0220,11091
2026-04-21 14:01:22.638+0900,BV0076,10711
2026-04-21 14:01:22.851+0900,BV0303,11082
2026-04-21 14:01:22.852+0900,BV0236,10721
2026-04-21 14:01:23.326+0900,BV0207,11121
2026-04-21 14:01:23.334+0900,BV0212,10641
2026-04-21 14:01:23.615+0900,BV0212,10641
2026-04-21 14:01:23.777+0900,BV0213,11082
2026-04-21 14:01:23.855+0900,BV0092,10721
2026-04-21 14:01:23.902+0900,BV0213,11082
2026-04-21 14:01:24.283+0900,BV0363,10711
2026-04-21 14:01:24.546+0900,BV0177,10771
2026-04-21 14:01:24.785+0900,BV0303,11082
2026-04-21 14:01:24.917+0900,BV0226,10641
2026-04-21 14:01:24.934+0900,BV0324,34
2026-04-21 14:01:25.382+0900,BV0220,11091
2026-04-21 14:01:25.455+0900,BV0076,10631
2026-04-21 14:01:25.583+0900,BV0236,10711
2026-04-21 14:01:25.791+0900,BV0387,33
2026-04-21 14:01:26.809+0900,BV0303,11082
2026-04-21 14:01:26.828+0900,BV0209,10721
2026-04-21 14:01:26.941+0900,BV0220,11091
2026-04-21 14:01:27.265+0900,BV0387,33
2026-04-21 14:01:27.286+0900,BV0212,10641
2026-04-21 14:01:27.301+0900,BV0092,10721
2026-04-21 14:01:27.307+0900,BV0177,10771
2026-04-21 14:01:27.456+0900,BV0213,11082
2026-04-21 14:01:27.867+0900,BV0076,10631
2026-04-21 14:01:28.098+0900,BV0213,11082
2026-04-21 14:01:28.142+0900,BV0209,10721
2026-04-21 14:01:28.491+0900,BV0209,10721
2026-04-21 14:01:28.608+0900,BV0212,10641
2026-04-21 14:01:28.813+0900,BV0333,11091
2026-04-21 14:01:28.982+0900,BV0200,10771
2026-04-21 14:01:29.015+0900,BV0213,11082
2026-04-21 14:01:29.747+0900,BV0147,33
2026-04-21 14:01:29.759+0900,BV0360,34
2026-04-21 14:01:30.525+0900,BV0151,11091
2026-04-21 14:01:30.559+0900,BV0140,3
2026-04-21 14:01:30.603+0900,BV0132,10771
2026-04-21 14:01:31.142+0900,BV0069,34
2026-04-21 14:01:31.362+0900,BV0147,33
2026-04-21 14:01:32.078+0900,BV0076,10631
2026-04-21 14:01:33.208+0900,BV0209,10721
2026-04-21 14:01:33.245+0900,BV0363,10631
2026-04-21 14:01:33.248+0900,BV0319,34
2026-04-21 14:01:33.265+0900,BV0363,10631
2026-04-21 14:01:33.864+0900,BV0215,11041
2026-04-21 14:01:34.231+0900,BV0305,10611
2026-04-21 14:01:34.231+0900,BV0305,3
2026-04-21 14:01:34.471+0900,BV0209,10721
2026-04-21 14:01:35.778+0900,BV0209,10721
2026-04-21 14:01:36.204+0900,BV0372,34
2026-04-21 14:01:36.209+0900,BV0076,10611
2026-04-21 14:01:36.209+0900,BV0076,3
2026-04-21 14:01:37.314+0900,BV0213,11091
2026-04-21 14:01:37.327+0900,BV0209,10681
2026-04-21 14:01:38.267+0900,BV0236,10611
2026-04-21 14:01:38.359+0900,BV0215,11101
2026-04-21 14:01:38.769+0900,BV0124,34
2026-04-21 14:01:39.255+0900,BV0175,10721
2026-04-21 14:01:39.310+0900,BV0336,11082
2026-04-21 14:01:39.526+0900,BV0387,10771
2026-04-21 14:01:39.652+0900,BV0387,10771
2026-04-21 14:01:39.819+0900,BV0194,33
2026-04-21 14:01:39.822+0900,BV0215,33
