episode_id,start_time,end_time,duration_min,equipment,line,fault_type,severity,status,is_orphan,message_count,message_ids
89,2026-06-29 18:09:24,2026-06-29 18:09:24,0.0,,M16A,CAPA변경,LOW,open,N,1,182
90,2026-06-29 18:20:06,2026-06-29 18:20:06,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,183
91,2026-06-29 18:20:42,2026-06-29 18:20:42,0.0,,,,LOW,orphan,Y,1,184
92,2026-06-29 19:20:43,2026-06-29 19:20:43,0.0,6ABL0112,M16A,브릿지,LOW,open,N,1,186
93,2026-06-29 20:00:58,2026-06-29 20:00:58,0.0,6ABL0112,M16A,,LOW,orphan,Y,1,187
94,2026-06-30 00:00:05,2026-06-30 00:00:05,0.0,ZT 4-2호기,M16A,브릿지,LOW,open,N,1,188
95,2026-06-30 01:06:08,2026-06-30 01:06:08,0.0,ZT 4-2호기,M16A,,LOW,orphan,Y,1,189
96,2026-06-30 07:23:28,2026-06-30 07:23:28,0.0,6ABL0112,M16A,,LOW,open,N,1,190
97,2026-06-30 08:01:44,2026-06-30 08:01:44,0.0,6ABL0112,M16A,,LOW,orphan,Y,1,191
98,2026-06-30 19:15:51,2026-06-30 19:33:50,18.0,6ABL0112,,리프터,MED,open,N,2,192|193
99,2026-06-30 23:09:05,2026-06-30 23:58:06,49.0,6ABL0112,,리프터,MED,open,N,4,194|195|196|197
100,2026-07-01 03:44:02,2026-07-01 03:51:39,7.6,6ABL0112,,리프터,LOW,open,N,2,198|199
101,2026-07-01 10:42:50,2026-07-01 10:42:50,0.0,ZT6-2,,CAPA변경,LOW,open,N,1,200
102,2026-07-01 10:43:21,2026-07-01 10:59:31,16.2,,M16A,기타,MED,closed,N,2,201|210
103,2026-07-01 10:45:10,2026-07-01 10:47:11,2.0,,M16,CAPA변경,LOW,closed,N,2,202|206
104,2026-07-01 10:46:48,2026-07-01 10:46:48,0.0,,M14B,CAPA변경,LOW,open,N,1,204
105,2026-07-01 10:46:49,2026-07-01 10:48:01,1.2,,M14A,CAPA변경,LOW,open,N,3,203|207|208
106,2026-07-01 10:46:57,2026-07-01 11:06:01,19.1,,M16,정체/병목,MED,open,N,3,205|211|212
107,2026-07-01 10:50:51,2026-07-01 11:24:53,34.0,,M16A,CAPA변경,MED,closed,N,3,209|217|218
108,2026-07-01 11:12:19,2026-07-01 11:12:19,0.0,,M16A,정체/병목,LOW,open,N,1,213
109,2026-07-01 11:16:45,2026-07-01 11:16:45,0.0,,,,LOW,orphan,Y,1,216
110,2026-07-01 11:26:39,2026-07-01 11:31:49,5.2,,M14B,CAPA변경,LOW,closed,N,2,219|220
111,2026-07-01 11:45:10,2026-07-01 11:45:10,0.0,,,CAPA변경,LOW,orphan,Y,1,222
112,2026-07-01 11:45:22,2026-07-01 11:45:22,0.0,,,CAPA변경,LOW,orphan,Y,1,223
113,2026-07-01 11:46:11,2026-07-01 11:46:11,0.0,,M14A,CAPA변경,LOW,orphan,Y,1,224
114,2026-07-01 11:46:59,2026-07-01 11:46:59,0.0,,Bridge,,LOW,orphan,Y,1,226
